id,t,rx,ry,rz,vx,vy,vz,ux,uy,uz
1,0,42000,-0.36311,-0.45087,-0.0011989,3.0801,0.00088021,-0.0011989,3.0801,0.00088021
1,2141.5,41478,6568.3,1.4348,-0.48311,3.042,0.00087729,-0.48311,3.042,0.00087729
1,4283.1,39932,12973,3.2911,-0.9531,2.9288,0.00085305,-0.9531,2.9288,0.00085305
1,6424.6,37408,19060,5.0736,-1.3998,2.7438,0.00080818,-1.3998,2.7438,0.00080818
1,8566.1,33961,24677,6.7384,-1.8121,2.4911,0.00074357,-1.8121,2.4911,0.00074357
1,10708,29671,29680,8.2438,-2.1794,2.1765,0.00066063,-2.1794,2.1765,0.00066063
1,12849,24656,33953,9.5545,-2.4932,1.8086,0.00056157,-2.4932,1.8086,0.00056157
1,14991,19033,37388,10.637,-2.7455,1.396,0.00044865,-2.7455,1.396,0.00044865
1,17132,12941,39901,11.466,-2.9301,0.94894,0.0003246,-2.9301,0.94894,0.0003246
1,19274,6532.2,41430,12.02,-3.0426,0.47851,0.00019243,-3.0426,0.47851,0.00019243
1,21415,-37.269,41937,12.286,-3.08,-0.0037572,5.5296e-05,-3.08,-0.0037572,5.5296e-05
1,23557,-6605.3,41410,12.255,-3.0415,-0.48597,-8.3476e-05,-3.0415,-0.48597,-8.3476e-05
1,25698,-13010,39862,11.929,-2.9279,-0.95623,-0.00022054,-2.9279,-0.95623,-0.00022054
1,27840,-19094,37331,11.314,-2.7421,-1.4029,-0.0003526,-2.7421,-1.4029,-0.0003526
1,29981,-24707,33879,10.425,-2.4887,-1.8151,-0.00047646,-2.4887,-1.8151,-0.00047646
1,32123,-29711,29591,9.2819,-2.1739,-2.1825,-0.00058914,-2.1739,-2.1825,-0.00058914
1,34265,-33982,24573,7.9123,-1.8053,-2.4961,-0.00068793,-1.8053,-2.4961,-0.00068793
1,36406,-37416,18948,6.3482,-1.3923,-2.7482,-0.00077046,-1.3923,-2.7482,-0.00077046
1,38548,-39927,12854,4.6265,-0.94482,-2.9325,-0.00083475,-0.94482,-2.9325,-0.00083475
1,40689,-41454,6441.8,2.7879,-0.47402,-3.0445,-0.00087926,-0.47402,-3.0445,-0.00087926
1,42831,-41959,-130.86,0.87613,0.0085338,-3.0814,-0.0009029,0.0085338,-3.0814,-0.0009029
