id,t,rx,ry,rz,vx,vy,vz,ux,uy,uz
0,0.787686856642769,94,-469,-668,725,148,740,-749,654,831
0,1.1361557529655946,103.14,-469.7,-669.15,587,-565,684,678,-30,-554
0,2.0415949817256744,105.4,-472.08,-669.86,531,213,742,655,819,-59
0,2.1093545005436165,102.71000000000001,-481.72999999999996,-662.67,-686,-812,-627,-463,-405,205
0,2.4914443776280817,112.21000000000001,-488.73999999999995,-658.05,-14,-126,94,181,-34,567
0,2.658848769124999,116.22000000000001,-485.0799999999999,-653.16,896,-548,957,-239,873,381
0,3.3768750616615204,111.13000000000001,-478.49999999999994,-662.29,839,207,-720,-222,739,741
0,3.4234343829699876,103.36000000000001,-476.62999999999994,-663.0799999999999,-449,10,-382,-135,-859,656
0,4.304094191016673,105.60000000000001,-485.55999999999995,-659.77,-8,-251,871,-550,-720,-7
0,5.153936575690455,97.46000000000001,-481.24999999999994,-659.11,-574,-657,-903,21,657,-293
0,6.121297726830596,102.83000000000001,-486.37999999999994,-659.4300000000001,-952,-769,-207,-885,235,242
0,6.447339675155989,106.07000000000001,-491.42999999999995,-667.8800000000001,-460,132,633,960,-981,-617
0,6.801845012087143,112.67,-493.22999999999996,-666.0600000000001,-870,198,-661,259,-558,497
0,7.117458656386255,120.43,-490.06999999999994,-668.1300000000001,559,781,-54,-157,798,-208
0,7.816227294466699,125.65,-496.93999999999994,-658.7300000000001,-174,916,661,359,639,84
0,8.596246688448781,123.14,-501.5899999999999,-665.6200000000001,-523,-217,-648,-847,728,-615
0,8.651333055611294,118.94,-493.88999999999993,-665.3200000000002,27,742,-30,651,547,-288
0,8.886212652912505,114.7,-498.9599999999999,-658.1700000000002,-789,602,-714,593,-962,149
0,9.564643587532608,116.7,-496.7399999999999,-666.8300000000002,-177,-540,-205,-605,-186,-826
0,10.144519145267047,124.10000000000001,-500.8699999999999,-676.2600000000001,302,574,-457,421,-378,574
0,10.93338804312273,115.34,-497.8499999999999,-668.07,805,-137,110,-341,222,-335
0,11.138250659352911,115.05,-506.94999999999993,-658.72,-230,313,270,458,-874,370
0,11.192661068255454,112.33,-506.11999999999995,-648.85,79,-83,-123,797,-708,934
0,11.57453527476564,103.86,-505.22999999999996,-649.95,-503,864,540,-914,531,94
0,12.45072175130044,101.64,-505.61999999999995,-641.95,-841,625,-482,175,761,941
0,13.1421831631259,100.09,-514.78,-633.08,-356,65,-463,333,383,408
0,13.189923373802394,96.67,-520.85,-629.7700000000001,393,-8,61,-630,-28,-261
0,13.536601144463612,87.86,-518.63,-622.7100000000002,-599,482,506,116,462,616
0,14.237601192463975,83.87,-514.43,-615.3000000000002,947,-693,376,-849,954,334
0,14.479835199675442,74.09,-517.18,-612.7900000000002,554,-268,352,405,916,-517
0,14.644013560959094,76.76,-512.88,-620.3900000000002,84,-455,-238,613,-274,911
0,14.751437218779367,73.78,-520.75,-630.3800000000002,-590,476,-275,329,632,-976
0,15.39315992455637,79.36,-524.91,-633.7200000000003,124,-576,-558,399,-51,-855
0,15.601775247097114,78.42,-526.42,-627.7800000000002,-573,-558,143,-87,-425,890
0,15.684484696305104,84.22,-524.42,-623.0200000000002,-336,-497,780,238,360,767
0,15.789015405778525,76.25,-527.2099999999999,-622.4200000000002,385,766,-796,625,171,352
0,16.598697898459076,66.65,-519.3699999999999,-630.4700000000001,-59,137,948,-620,-567,929
0,17.149635302210946,58.050000000000004,-522.2099999999999,-636.1200000000001,817,-909,-476,158,641,870
0,17.510632248799414,60.660000000000004,-522.2299999999999,-628.7400000000001,309,-120,-565,234,372,98
0,17.569024375931473,61.36000000000001,-513.0899999999999,-622.2500000000001,-470,127,-922,893,-776,-1000
0,17.89172559740874,70.03,-522.5999999999999,-624.9700000000001,-111,304,877,813,446,-314
0,18.590630635338847,68.71000000000001,-519.7399999999999,-615.5200000000001,75,120,179,351,223,-107
0,19.164719333025612,65.4,-513.6299999999999,-622.2200000000001,-362,-583,536,293,-768,-903
0,19.444126035685674,74.55000000000001,-515.8199999999999,-622.8100000000002,668,-453,-610,289,-977,495
0,20.172750534047772,73.08000000000001,-510.6599999999999,-629.8900000000002,-283,-711,191,843,-870,586
0,21.058757448794257,77.37000000000002,-510.6799999999999,-624.9700000000003,-494,577,-206,-667,-415,300
0,21.888171387921144,71.98000000000002,-506.57999999999987,-634.8200000000003,569,33,-922,313,843,846
0,22.58636966162152,65.10000000000002,-503.07999999999987,-639.6900000000003,-131,-199,-354,-730,-755,265
0,23.518398460862986,60.21000000000002,-505.66999999999985,-641.2500000000002,-593,-695,-171,-738,-825,-975
0,23.56766457165755,67.08000000000003,-509.23999999999984,-634.8200000000003,-376,631,-415,-122,-686,-106
0,23.893909144236357,61.92000000000003,-499.35999999999984,-642.4000000000003,799,437,-639,578,82,694
0,24.389314196505577,57.36000000000003,-501.14999999999986,-644.5300000000003,675,7,917,-58,-502,-988
0,25.248714139187175,51.65000000000003,-508.01999999999987,-651.6100000000004,37,-289,-440,609,548,-142
0,25.263656451976097,52.93000000000003,-500.34999999999985,-657.2700000000003,788,493,-968,-371,493,-364
0,25.355536169940386,59.07000000000003,-503.65999999999985,-657.2700000000003,-379,-769,105,607,557,895
0,25.38662891683349,56.28000000000003,-494.61999999999983,-657.6500000000003,58,42,-771,-893,447,-479
0,25.418907975855518,56.22000000000003,-497.33999999999986,-657.1400000000003,-104,-621,224,402,-496,437
0,26.11252017471432,54.17000000000003,-502.4499999999999,-659.2400000000004,-538,-642,-679,409,728,-286
0,26.294959879678256,46.21000000000003,-496.72999999999985,-656.6900000000004,940,65,-263,-774,647,-539
0,26.324205537393162,39.35000000000003,-487.30999999999983,-651.4000000000004,-619,300,-952,-598,-723,-265
0,26.638994345035773,38.57000000000003,-480.42999999999984,-643.9000000000004,-817,494,486,71,972,-199
